nationality,class,time_s,time,5ktime,5kdiff,5kminperk,5kkmh,5kplace,10ktime,10kdiff,10kminperk,10kkmh,10kplace,15ktime,15kdiff,15kminperk,15kkmh,15kplace,20ktime,20kdiff,20kminperk,20kkmh,20kplace,finishtime_s,finishtime,finishdiff,finishminperk,finishkmh
SWE,D35,5894,01:38:14,00:22:02,22:02,04:25,13.61,192,00:44:26,22:24,04:29,13.39,226,01:08:41,24:15,04:52,12.37,300,01:33:04,24:23,04:53,12.30,328,5894,01:38:14,05:10,04:43,12.73
SWE,D17,5896,01:38:16,00:22:35,22:35,04:32,13.28,285,00:44:44,22:08,04:26,13.55,250,01:08:12,23:28,04:42,12.78,268,01:32:59,24:46,04:58,12.11,322,5896,01:38:16,05:17,04:49,12.46
NOR,H40,4912,01:21:52,00:19:37,19:37,03:56,15.28,572,00:38:35,18:57,03:48,15.82,436,00:58:05,19:29,03:54,15.39,395,01:17:48,19:43,03:57,15.21,347,4912,01:21:52,04:04,03:43,16.17
SWE,D35,5897,01:38:17,00:22:40,22:40,04:33,13.23,304,00:45:14,22:34,04:31,13.29,298,01:09:02,23:48,04:46,12.60,331,01:33:11,24:09,04:50,12.42,335,5897,01:38:17,05:06,04:40,12.90
SWE,H45,4914,01:21:54,00:19:09,19:09,03:50,15.66,375,00:38:11,19:02,03:49,15.76,372,00:57:36,19:24,03:53,15.46,350,01:17:37,20:01,04:01,14.98,329,4914,01:21:54,04:16,03:54,15.39
SWE,H45,4915,01:21:55,00:19:23,19:23,03:53,15.48,446,00:38:32,19:09,03:50,15.66,426,00:58:06,19:34,03:55,15.32,397,01:17:48,19:41,03:57,15.24,344,4915,01:21:55,04:07,03:46,15.99
SWE,D17,5897,01:38:17,00:23:17,23:17,04:40,12.88,489,00:46:04,22:47,04:34,13.16,416,01:09:21,23:16,04:40,12.89,353,01:33:17,23:55,04:48,12.54,338,5897,01:38:17,05:00,04:34,13.14
SWE,H17,4916,01:21:56,00:19:36,19:36,03:56,15.30,563,00:38:40,19:03,03:49,15.74,447,00:58:11,19:30,03:55,15.37,405,01:17:51,19:40,03:57,15.24,352,4916,01:21:56,04:04,03:44,16.13
SWE,D17,5898,01:38:18,00:23:12,23:12,04:39,12.92,462,00:46:08,22:56,04:36,13.08,426,01:09:36,23:27,04:42,12.79,377,01:33:23,23:47,04:46,12.61,345,5898,01:38:18,04:54,04:29,13.41
SWE,H17,4917,01:21:57,00:19:13,19:13,03:51,15.60,394,00:38:12,18:58,03:48,15.81,377,00:57:51,19:38,03:56,15.27,364,01:17:44,19:52,03:59,15.09,337,4917,01:21:57,04:13,03:51,15.59
SWE,D17,5898,01:38:18,00:22:36,22:36,04:32,13.27,287,00:45:57,23:20,04:41,12.85,403,01:09:50,23:53,04:47,12.56,397,01:33:38,23:48,04:46,12.60,365,5898,01:38:18,04:39,04:16,14.11
SWE,H17,4919,01:21:59,00:19:55,19:55,04:00,15.06,730,00:38:53,18:58,03:48,15.81,497,00:58:20,19:26,03:54,15.43,421,01:17:45,19:25,03:54,15.44,340,4919,01:21:59,04:13,03:52,15.56
SWE,D17,5899,01:38:19,00:23:14,23:14,04:39,12.90,471,00:46:14,22:59,04:36,13.05,443,01:09:53,23:39,04:44,12.68,408,01:33:37,23:43,04:45,12.64,364,5899,01:38:19,04:41,04:17,14.01
SWE,H35,4920,01:22:00,00:19:32,19:32,03:55,15.35,523,00:38:44,19:11,03:51,15.63,458,00:57:56,19:11,03:51,15.63,372,01:17:39,19:43,03:57,15.21,331,4920,01:22:00,04:20,03:58,15.14
SWE,D17,5899,01:38:19,00:23:18,23:18,04:40,12.87,497,00:46:18,23:00,04:37,13.04,455,01:09:53,23:34,04:43,12.72,407,01:33:23,23:29,04:42,12.77,344,5899,01:38:19,04:56,04:31,13.30
SWE,H17,4922,01:22:02,00:18:21,18:21,03:41,16.34,183,00:36:34,18:13,03:39,16.46,180,00:55:51,19:16,03:52,15.56,202,01:17:21,21:30,04:19,13.95,315,4922,01:22:02,04:40,04:16,14.07
SWE,D17,5901,01:38:21,00:23:54,23:54,04:47,12.55,758,00:47:04,23:10,04:39,12.95,611,01:10:25,23:21,04:41,12.85,460,01:33:32,23:07,04:38,12.98,354,5901,01:38:21,04:49,04:24,13.67
SWE,H17,4923,01:22:03,00:19:11,19:11,03:51,15.63,384,00:38:12,19:00,03:49,15.78,375,00:57:47,19:35,03:56,15.31,359,01:17:52,20:05,04:02,14.94,355,4923,01:22:03,04:10,03:49,15.76
SWE,D55,5903,01:38:23,00:21:20,21:20,04:17,14.06,131,00:43:23,22:02,04:25,13.61,164,01:07:12,23:49,04:46,12.59,218,01:33:04,25:52,05:11,11.60,329,5903,01:38:23,05:18,04:51,12.39
SWE,H17,4923,01:22:03,00:17:56,17:56,03:36,16.72,127,00:36:31,18:34,03:43,16.15,175,00:56:38,20:07,04:02,14.91,261,01:17:36,20:58,04:12,14.30,328,4923,01:22:03,04:26,04:04,14.80
SWE,D40,5905,01:38:25,00:23:09,23:09,04:38,12.95,437,00:46:11,23:02,04:37,13.02,435,01:09:34,23:22,04:41,12.83,373,01:33:27,23:53,04:47,12.56,350,5905,01:38:25,04:57,04:32,13.27
SWE,H35,4924,01:22:04,00:18:45,18:45,03:46,15.99,256,00:37:38,18:52,03:47,15.89,307,00:57:23,19:44,03:57,15.20,331,01:17:51,20:28,04:06,14.65,351,4924,01:22:04,04:12,03:51,15.61
SWE,D35,5905,01:38:25,00:23:33,23:33,04:43,12.73,608,00:46:50,23:16,04:40,12.89,554,01:10:24,23:34,04:43,12.73,459,01:33:36,23:12,04:39,12.93,359,5905,01:38:25,04:49,04:25,13.63
SWE,H40,4925,01:22:05,00:19:37,19:37,03:56,15.29,569,00:38:38,19:01,03:49,15.77,442,00:58:00,19:21,03:53,15.49,386,01:17:48,19:47,03:58,15.15,346,4925,01:22:05,04:17,03:55,15.36
SWE,D17,5905,01:38:25,00:23:39,23:39,04:44,12.68,645,00:46:16,22:37,04:32,13.26,452,01:09:29,23:12,04:39,12.92,366,01:33:15,23:45,04:46,12.62,337,5905,01:38:25,05:10,04:43,12.72
SWE,D45,5909,01:38:29,00:22:32,22:32,04:31,13.31,275,00:45:37,23:04,04:37,13.00,355,01:09:24,23:47,04:46,12.61,361,01:33:26,24:01,04:49,12.49,348,5909,01:38:29,05:03,04:37,13.03
SWE,H40,4927,01:22:07,00:19:41,19:41,03:57,15.23,601,00:38:35,18:53,03:47,15.88,433,00:58:00,19:24,03:53,15.45,385,01:17:52,19:51,03:59,15.10,353,4927,01:22:07,04:15,03:53,15.48
SWE,D35,5909,01:38:29,00:23:46,23:46,04:46,12.62,692,00:46:34,22:48,04:34,13.15,501,01:09:44,23:10,04:39,12.95,390,01:33:21,23:36,04:44,12.70,341,5909,01:38:29,05:08,04:41,12.82
SWE,H40,4927,01:22:07,00:19:11,19:11,03:51,15.64,381,00:37:50,18:39,03:44,16.08,328,00:57:21,19:31,03:55,15.37,327,01:17:43,20:21,04:05,14.74,335,4927,01:22:07,04:24,04:01,14.96
SWE,H17,4928,01:22:08,00:19:23,19:23,03:53,15.47,452,00:38:10,18:46,03:46,15.98,367,00:57:39,19:28,03:54,15.40,352,01:17:45,20:06,04:02,14.92,339,4928,01:22:08,04:22,04:00,15.02
SWE,D17,5910,01:38:30,00:23:17,23:17,04:40,12.88,492,00:46:20,23:02,04:37,13.02,458,01:09:41,23:20,04:41,12.85,383,01:33:39,23:58,04:48,12.52,367,5910,01:38:30,04:51,04:26,13.53
SWE,D17,5911,01:38:31,00:22:34,22:34,04:31,13.29,281,00:45:25,22:51,04:35,13.13,335,01:09:19,23:54,04:47,12.55,349,01:33:34,24:15,04:52,12.37,356,5911,01:38:31,04:56,04:31,13.31
SWE,H17,4928,01:22:08,00:18:38,18:38,03:44,16.09,228,00:37:24,18:45,03:46,16.00,268,00:57:13,19:49,03:58,15.14,310,01:17:43,20:30,04:07,14.63,336,4928,01:22:08,04:24,04:02,14.91
SWE,H17,4931,01:22:11,00:19:18,19:18,03:52,15.53,422,00:38:16,18:57,03:48,15.83,388,00:57:50,19:34,03:55,15.33,362,01:17:58,20:07,04:02,14.91,361,4931,01:22:11,04:13,03:51,15.60
SWE,D40,5911,01:38:31,00:22:31,22:31,04:31,13.31,270,00:45:01,22:29,04:30,13.34,279,01:08:26,23:25,04:42,12.81,284,01:32:59,24:32,04:55,12.22,324,5911,01:38:31,05:32,05:03,11.89
SWE,H35,4931,01:22:11,00:18:51,18:51,03:47,15.90,286,00:37:27,18:35,03:44,16.13,279,00:56:54,19:27,03:54,15.42,282,01:17:35,20:40,04:09,14.51,327,4931,01:22:11,04:36,04:13,14.27
SWE,D35,5912,01:38:32,00:22:15,22:15,04:28,13.48,227,00:44:56,22:40,04:33,13.23,267,01:08:57,24:01,04:49,12.49,324,01:33:30,24:33,04:55,12.22,352,5912,01:38:32,05:02,04:36,13.07
SWE,H35,4932,01:22:12,00:18:45,18:45,03:46,15.99,259,00:37:47,19:02,03:49,15.76,322,00:57:28,19:40,03:57,15.25,341,01:17:49,20:20,04:05,14.75,349,4932,01:22:12,04:22,04:00,15.02
SWE,D35,5912,01:38:32,00:23:53,23:53,04:47,12.55,754,00:46:41,22:47,04:34,13.16,519,01:09:55,23:14,04:39,12.91,411,01:33:39,23:43,04:45,12.65,368,5912,01:38:32,04:53,04:28,13.45
SWE,H17,4932,01:22:12,00:19:52,19:52,03:59,15.09,700,00:39:12,19:19,03:52,15.52,565,00:58:35,19:23,03:53,15.47,446,01:18:03,19:27,03:54,15.42,368,4932,01:22:12,04:09,03:48,15.85
SWE,H50,4932,01:22:12,00:18:56,18:56,03:48,15.83,310,00:37:52,18:55,03:48,15.85,334,00:57:29,19:36,03:56,15.30,343,01:17:49,20:20,04:05,14.75,350,4932,01:22:12,04:22,04:00,15.03
SWE,D17,5913,01:38:33,00:23:15,23:15,04:40,12.90,475,00:45:37,22:21,04:29,13.41,353,01:08:43,23:06,04:38,12.98,304,01:33:04,24:20,04:53,12.32,327,5913,01:38:33,05:29,05:01,11.99
SWE,D17,5914,01:38:34,00:25:14,25:14,05:03,11.88,1614,00:47:38,22:23,04:29,13.39,720,01:10:17,22:38,04:32,13.25,446,01:33:38,23:21,04:41,12.85,366,5914,01:38:34,04:55,04:30,13.36
SWE,D17,5914,01:38:34,00:22:44,22:44,04:33,13.19,323,00:45:45,23:01,04:37,13.03,375,01:09:31,23:46,04:46,12.62,371,01:33:37,24:05,04:50,12.45,362,5914,01:38:34,04:57,04:32,13.27
SWE,H40,4933,01:22:13,00:19:30,19:30,03:55,15.38,504,00:38:26,18:56,03:48,15.84,418,00:57:59,19:32,03:55,15.35,383,01:17:57,19:57,04:00,15.03,360,4933,01:22:13,04:16,03:54,15.40
SWE,D45,5914,01:38:34,00:23:44,23:44,04:45,12.64,683,00:46:33,22:49,04:34,13.14,498,01:09:57,23:23,04:41,12.82,415,01:33:42,23:44,04:45,12.63,373,5914,01:38:34,04:52,04:27,13.52
SWE,H35,4934,01:22:14,00:19:46,19:46,03:58,15.16,646,00:39:08,19:21,03:53,15.50,543,00:58:36,19:28,03:54,15.40,449,01:18:17,19:40,03:57,15.25,391,4934,01:22:14,03:56,03:36,16.67
SWE,D17,5914,01:38:34,00:22:56,22:56,04:36,13.08,383,00:45:24,22:27,04:30,13.36,329,01:09:00,23:35,04:44,12.71,328,01:33:19,24:19,04:52,12.34,339,5914,01:38:34,05:15,04:48,12.51
SWE,H35,4934,01:22:14,00:18:09,18:09,03:38,16.52,157,00:36:39,18:29,03:42,16.22,187,00:56:16,19:37,03:56,15.29,233,01:17:33,21:16,04:16,14.10,322,4934,01:22:14,04:41,04:17,14.04
NOR,D17,5915,01:38:35,00:21:33,21:33,04:19,13.92,152,00:44:10,22:37,04:32,13.26,205,01:08:40,24:30,04:55,12.24,298,01:33:24,24:43,04:57,12.13,347,5915,01:38:35,05:10,04:44,12.70
SWE,H35,4935,01:22:15,00:18:47,18:47,03:46,15.97,269,00:37:35,18:48,03:46,15.95,301,00:57:15,19:40,03:56,15.25,317,01:17:48,20:32,04:07,14.60,348,4935,01:22:15,04:27,04:04,14.79
SWE,D17,5916,01:38:36,00:23:11,23:11,04:39,12.94,452,00:46:15,23:04,04:37,13.00,448,01:09:52,23:36,04:44,12.71,403,01:33:48,23:56,04:48,12.53,382,5916,01:38:36,04:47,04:23,13.73
NOR,H40,4936,01:22:16,00:19:21,19:21,03:53,15.50,435,00:38:17,18:56,03:48,15.84,394,00:57:50,19:33,03:55,15.34,363,01:17:56,20:05,04:02,14.93,358,4936,01:22:16,04:20,03:58,15.16
SWE,H17,4936,01:22:16,00:20:01,20:01,04:01,14.98,798,00:39:00,18:58,03:48,15.81,518,00:58:11,19:10,03:51,15.64,404,01:17:48,19:37,03:56,15.29,345,4936,01:22:16,04:28,04:05,14.71
SWE,D17,5917,01:38:37,00:23:07,23:07,04:38,12.98,423,00:45:24,22:17,04:28,13.46,331,01:09:05,23:40,04:45,12.67,335,01:33:35,24:30,04:55,12.24,358,5917,01:38:37,05:01,04:35,13.10
SWE,D17,5917,01:38:37,00:22:55,22:55,04:36,13.09,375,00:46:09,23:14,04:39,12.91,428,01:09:43,23:33,04:43,12.73,384,01:33:36,23:52,04:47,12.56,359,5917,01:38:37,05:01,04:35,13.12
SWE,D17,5917,01:38:37,00:22:58,22:58,04:36,13.06,390,00:45:53,22:55,04:36,13.08,395,01:10:12,24:18,04:52,12.34,438,01:33:41,23:29,04:42,12.77,372,5917,01:38:37,04:55,04:30,13.37
SWE,H17,4937,01:22:17,00:18:56,18:56,03:48,15.83,312,00:37:30,18:34,03:43,16.16,288,00:56:58,19:27,03:54,15.41,290,01:17:47,20:48,04:10,14.42,342,4937,01:22:17,04:29,04:06,14.65
SWE,H17,4937,01:22:17,00:19:35,19:35,03:56,15.31,552,00:38:34,18:58,03:48,15.81,430,00:58:09,19:35,03:56,15.31,402,01:18:02,19:53,03:59,15.08,366,4937,01:22:17,04:14,03:53,15.50
SWE,H17,4938,01:22:18,00:18:54,18:54,03:47,15.87,298,00:38:05,19:10,03:51,15.64,353,00:57:55,19:50,03:59,15.12,370,01:18:00,20:05,04:02,14.94,363,4938,01:22:18,04:17,03:55,15.36
SWE,D40,5918,01:38:38,00:22:59,22:59,04:36,13.05,395,00:45:42,22:42,04:33,13.21,367,01:09:24,23:42,04:45,12.65,360,01:33:24,23:59,04:48,12.51,346,5918,01:38:38,05:14,04:47,12.57
SWE,H17,4939,01:22:19,00:19:07,19:07,03:50,15.69,368,00:38:09,19:01,03:49,15.77,365,00:57:57,19:48,03:58,15.14,380,01:18:09,20:11,04:03,14.86,374,4939,01:22:19,04:10,03:48,15.80
SWE,D40,5918,01:38:38,00:22:59,22:59,04:36,13.05,395,00:45:39,22:40,04:33,13.23,360,01:09:04,23:24,04:41,12.81,334,01:33:26,24:22,04:53,12.31,349,5918,01:38:38,05:11,04:45,12.67
SWE,H17,4939,01:22:19,00:19:09,19:09,03:50,15.66,377,00:38:12,19:03,03:49,15.74,378,00:57:57,19:45,03:57,15.19,379,01:18:02,20:04,04:01,14.94,364,4939,01:22:19,04:17,03:55,15.36
SWE,D45,5919,01:38:39,00:23:31,23:31,04:43,12.76,587,00:46:29,22:57,04:36,13.06,485,01:09:58,23:29,04:42,12.77,417,01:33:35,23:36,04:44,12.71,357,5919,01:38:39,05:04,04:38,12.96
SWE,D17,5921,01:38:41,00:22:55,22:55,04:36,13.09,378,00:45:49,22:53,04:35,13.10,380,01:09:43,23:54,04:47,12.55,386,01:33:56,24:12,04:51,12.39,389,5921,01:38:41,04:45,04:20,13.86
SWE,H45,4939,01:22:19,00:18:20,18:20,03:41,16.35,180,00:37:03,18:42,03:45,16.04,225,00:56:59,19:55,04:00,15.05,291,01:17:53,20:53,04:11,14.36,356,4939,01:22:19,04:26,04:04,14.80
SWE,H40,4939,01:22:19,00:19:30,19:30,03:55,15.38,497,00:38:44,19:14,03:51,15.59,458,00:58:23,19:39,03:56,15.27,426,01:18:09,19:45,03:58,15.18,375,4939,01:22:19,04:10,03:49,15.74
SWE,D17,5921,01:38:41,00:23:10,23:10,04:39,12.95,441,00:45:52,22:42,04:33,13.21,392,01:09:35,23:42,04:45,12.65,375,01:33:41,24:06,04:50,12.45,371,5921,01:38:41,05:00,04:35,13.14
SWE,D40,5922,01:38:42,00:22:57,22:57,04:36,13.07,387,00:45:43,22:46,04:34,13.18,370,01:09:21,23:37,04:44,12.70,352,01:33:36,24:15,04:52,12.37,361,5922,01:38:42,05:06,04:39,12.91
SWE,H17,4940,01:22:20,00:19:30,19:30,03:55,15.38,499,00:38:03,18:33,03:43,16.16,347,00:57:17,19:13,03:51,15.61,319,01:17:44,20:27,04:06,14.66,338,4940,01:22:20,04:35,04:12,14.32
SWE,D45,5924,01:38:44,00:22:32,22:32,04:31,13.31,273,00:45:15,22:43,04:33,13.20,301,01:08:54,23:38,04:44,12.69,318,01:33:29,24:35,04:55,12.20,351,5924,01:38:44,05:15,04:48,12.53
NOR,H17,4941,01:22:21,00:19:27,19:27,03:54,15.42,478,00:38:36,19:08,03:50,15.67,438,00:58:15,19:39,03:56,15.26,414,01:18:10,19:54,03:59,15.07,380,4941,01:22:21,04:10,03:49,15.76
SWE,H17,4942,01:22:22,00:19:08,19:08,03:50,15.67,372,00:38:17,19:08,03:50,15.67,390,00:57:52,19:35,03:56,15.31,366,01:18:05,20:12,04:03,14.84,370,4942,01:22:22,04:16,03:54,15.41
SWE,D55,5924,01:38:44,00:23:45,23:45,04:45,12.63,684,00:46:29,22:44,04:33,13.19,488,01:09:53,23:24,04:41,12.82,409,01:33:40,23:46,04:46,12.62,370,5924,01:38:44,05:04,04:38,12.98
SWE,H40,4942,01:22:22,00:19:18,19:18,03:52,15.54,415,00:38:24,19:06,03:50,15.70,408,00:58:02,19:38,03:56,15.28,390,01:18:09,20:07,04:02,14.91,379,4942,01:22:22,04:12,03:51,15.65
SWE,D17,5925,01:38:45,00:23:08,23:08,04:38,12.97,433,00:46:14,23:06,04:38,12.98,446,01:10:01,23:47,04:46,12.61,421,01:33:58,23:56,04:48,12.53,392,5925,01:38:45,04:47,04:22,13.76
SWE,D45,5925,01:38:45,00:23:41,23:41,04:45,12.67,659,00:46:43,23:02,04:37,13.02,526,01:10:14,23:31,04:43,12.75,442,01:33:47,23:33,04:43,12.74,380,5925,01:38:45,04:57,04:32,13.27
SWE,H50,4942,01:22:22,00:19:20,19:20,03:53,15.51,428,00:38:13,18:52,03:47,15.89,379,00:57:48,19:35,03:56,15.31,361,01:18:00,20:11,04:03,14.85,362,4942,01:22:22,04:22,04:00,15.06
SWE,D17,5925,01:38:45,00:23:21,23:21,04:41,12.85,514,00:45:56,22:35,04:32,13.28,401,01:09:52,23:56,04:48,12.53,404,01:33:46,23:53,04:47,12.56,379,5925,01:38:45,04:59,04:33,13.20
SWE,H40,4943,01:22:23,00:18:56,18:56,03:48,15.83,311,00:38:03,19:07,03:50,15.69,348,00:57:56,19:52,03:59,15.09,375,01:18:11,20:14,04:03,14.82,382,4943,01:22:23,04:12,03:51,15.64
SWE,D35,5927,01:38:47,00:22:04,22:04,04:25,13.59,199,00:44:18,22:14,04:27,13.49,219,01:07:48,23:29,04:42,12.77,244,01:33:21,25:33,05:07,11.74,342,5927,01:38:47,05:25,04:58,12.12
SWE,H35,4943,01:22:23,00:19:01,19:01,03:49,15.76,339,00:37:49,18:47,03:46,15.96,326,00:57:58,20:09,04:02,14.89,381,01:18:11,20:13,04:03,14.84,385,4943,01:22:23,04:11,03:50,15.68
SWE,D17,5927,01:38:47,00:23:29,23:29,04:42,12.77,577,00:46:58,23:28,04:42,12.78,580,01:10:42,23:44,04:45,12.63,495,01:33:53,23:11,04:39,12.94,388,5927,01:38:47,04:53,04:28,13.43
SWE,H35,4945,01:22:25,00:18:35,18:35,03:44,16.14,220,00:37:10,18:35,03:44,16.14,241,00:57:00,19:49,03:58,15.13,293,01:17:56,20:55,04:12,14.33,359,4945,01:22:25,04:29,04:06,14.65
NOR,H40,4946,01:22:26,00:19:07,19:07,03:50,15.68,369,00:38:07,18:59,03:48,15.79,362,00:57:57,19:49,03:58,15.13,377,01:18:08,20:11,04:03,14.86,373,4946,01:22:26,04:17,03:55,15.33
SWE,D17,5928,01:38:48,00:23:48,23:48,04:46,12.60,714,00:47:03,23:14,04:39,12.91,606,01:10:36,23:32,04:43,12.74,481,01:34:06,23:30,04:43,12.76,403,5928,01:38:48,04:41,04:17,14.03
SWE,D17,5928,01:38:48,00:22:50,22:50,04:35,13.14,350,00:44:58,22:08,04:26,13.55,270,01:08:53,23:54,04:47,12.54,317,01:33:40,24:46,04:58,12.11,369,5928,01:38:48,05:08,04:42,12.80
SWE,H35,4946,01:22:26,00:19:26,19:26,03:54,15.43,471,00:38:27,19:00,03:49,15.78,420,00:57:56,19:29,03:54,15.39,374,01:18:09,20:13,04:03,14.84,377,4946,01:22:26,04:16,03:55,15.38
SWE,D35,5928,01:38:48,00:23:27,23:27,04:42,12.79,556,00:46:05,22:38,04:32,13.25,418,01:09:40,23:34,04:43,12.72,382,01:33:32,23:52,04:47,12.57,353,5928,01:38:48,05:16,04:49,12.49
SWE,H17,4946,01:22:26,00:19:25,19:25,03:54,15.45,463,00:38:30,19:05,03:50,15.72,424,00:57:57,19:27,03:54,15.42,376,01:18:03,20:05,04:02,14.93,367,4946,01:22:26,04:23,04:01,14.99
SWE,D35,5929,01:38:49,00:23:11,23:11,04:39,12.94,449,00:46:23,23:12,04:39,12.93,468,01:10:11,23:48,04:46,12.60,437,01:33:58,23:46,04:46,12.62,390,5929,01:38:49,04:51,04:26,13.54
SWE,H35,4947,01:22:27,00:19:20,19:20,03:53,15.51,428,00:38:15,18:54,03:47,15.86,383,00:57:51,19:36,03:56,15.30,365,01:18:03,20:12,04:03,14.85,369,4947,01:22:27,04:23,04:01,14.98
SWE,H17,4948,01:22:28,00:19:11,19:11,03:51,15.63,387,00:37:36,18:24,03:41,16.30,302,00:57:15,19:39,03:56,15.26,316,01:17:52,20:36,04:08,14.56,354,4948,01:22:28,04:35,04:12,14.32
SWE,D17,5930,01:38:50,00:23:11,23:11,04:39,12.94,451,00:46:12,23:01,04:37,13.03,439,01:09:30,23:17,04:40,12.88,367,01:33:09,23:38,04:44,12.69,333,5930,01:38:50,05:41,05:11,11.58
SWE,H45,4950,01:22:30,00:19:30,19:30,03:55,15.38,502,00:38:52,19:22,03:53,15.49,493,00:58:27,19:35,03:56,15.31,430,01:18:20,19:52,03:59,15.10,394,4950,01:22:30,04:10,03:49,15.78
SWE,D35,5930,01:38:50,00:22:43,22:43,04:33,13.20,319,00:45:16,22:33,04:31,13.30,307,01:09:05,23:48,04:46,12.60,336,01:33:43,24:37,04:56,12.19,375,5930,01:38:50,05:07,04:41,12.85
SWE,D50,5931,01:38:51,00:22:52,22:52,04:35,13.11,366,00:45:32,22:39,04:32,13.24,348,01:09:13,23:41,04:45,12.67,343,01:33:44,24:30,04:55,12.24,377,5931,01:38:51,05:06,04:40,12.89
SWE,H45,4950,01:22:30,00:19:24,19:24,03:53,15.45,460,00:38:21,18:56,03:48,15.83,399,00:57:56,19:34,03:55,15.32,373,01:18:12,20:15,04:04,14.81,386,4950,01:22:30,04:18,03:56,15.30
SWE,H45,4951,01:22:31,00:19:28,19:28,03:54,15.40,489,00:38:41,19:12,03:51,15.62,450,00:58:16,19:35,03:56,15.31,416,01:18:09,19:53,03:59,15.09,377,4951,01:22:31,04:21,03:59,15.09
SWE,D35,5931,01:38:51,00:23:07,23:07,04:38,12.97,425,00:45:48,22:41,04:33,13.22,378,01:09:35,23:47,04:46,12.61,376,01:33:52,24:17,04:52,12.35,387,5931,01:38:51,04:58,04:33,13.22
SWE,D35,5931,01:38:51,00:23:15,23:15,04:40,12.90,474,00:46:14,22:59,04:36,13.05,443,01:09:53,23:39,04:44,12.69,406,01:33:51,23:58,04:48,12.52,385,5931,01:38:51,05:00,04:34,13.15
SWE,H40,4951,01:22:31,00:18:48,18:48,03:46,15.95,274,00:37:30,18:42,03:45,16.03,288,00:57:09,19:38,03:56,15.27,306,01:17:47,20:38,04:08,14.54,343,4951,01:22:31,04:44,04:20,13.90
USA,D17,5932,01:38:52,00:22:57,22:57,04:36,13.07,386,00:45:20,22:23,04:29,13.40,318,01:08:49,23:28,04:42,12.78,313,01:33:37,24:47,04:58,12.10,363,5932,01:38:52,05:15,04:48,12.51
SWE,H17,4952,01:22:32,00:19:34,19:34,03:55,15.33,537,00:38:27,18:53,03:47,15.88,421,00:58:10,19:42,03:57,15.22,403,01:18:12,20:02,04:01,14.97,386,4952,01:22:32,04:20,03:58,15.19
SWE,D17,5932,01:38:52,00:22:41,22:41,04:33,13.22,311,00:45:19,22:37,04:32,13.26,312,01:09:18,23:59,04:48,12.50,348,01:33:42,24:23,04:53,12.30,374,5932,01:38:52,05:10,04:43,12.73
SWE,H35,4952,01:22:32,00:19:32,19:32,03:55,15.36,517,00:38:25,18:52,03:47,15.89,411,00:57:55,19:30,03:55,15.37,371,01:18:02,20:06,04:02,14.92,365,4952,01:22:32,04:29,04:06,14.64
SWE,H17,4952,01:22:32,00:19:14,19:14,03:51,15.60,396,00:38:13,18:59,03:48,15.79,380,00:57:59,19:45,03:58,15.19,382,01:18:10,20:11,04:03,14.86,381,4952,01:22:32,04:21,03:59,15.10
SWE,D45,5935,01:38:55,00:22:53,22:53,04:35,13.11,370,00:45:52,22:58,04:36,13.05,389,01:09:43,23:51,04:47,12.58,385,01:33:49,24:05,04:50,12.45,383,5935,01:38:55,05:06,04:40,12.88
SWE,D17,5936,01:38:56,00:21:46,21:46,04:22,13.78,164,00:45:00,23:14,04:39,12.91,277,01:08:58,23:57,04:48,12.52,326,01:33:44,24:45,04:58,12.11,376,5936,01:38:56,05:11,04:45,12.67
SWE,H45,4953,01:22:33,00:18:51,18:51,03:47,15.91,285,00:37:37,18:45,03:46,15.99,305,00:57:23,19:46,03:58,15.17,333,01:17:56,20:32,04:07,14.61,357,4953,01:22:33,04:36,04:13,14.26
SWE,D17,5939,01:38:59,00:22:34,22:34,04:31,13.29,281,00:45:14,22:40,04:33,13.23,300,01:09:25,24:10,04:51,12.41,362,01:34:00,24:35,04:56,12.20,394,5939,01:38:59,04:59,04:33,13.21
SWE,H17,4953,01:22:33,00:19:30,19:30,03:55,15.37,508,00:38:48,19:17,03:52,15.55,472,00:58:14,19:26,03:54,15.43,409,01:18:18,20:04,04:01,14.95,393,4953,01:22:33,04:15,03:53,15.47
SWE,H45,4955,01:22:35,00:19:27,19:27,03:54,15.42,475,00:38:33,19:06,03:50,15.71,427,00:58:16,19:43,03:57,15.21,415,01:18:37,20:20,04:05,14.74,401,4955,01:22:35,03:58,03:38,16.58
SWE,D35,5940,01:39:00,00:23:40,23:40,04:45,12.67,657,00:47:05,23:24,04:41,12.81,616,01:10:23,23:17,04:40,12.88,456,01:34:03,23:40,04:44,12.68,397,5940,01:39:00,04:57,04:32,13.26
SWE,H17,4955,01:22:35,00:19:23,19:23,03:53,15.47,449,00:38:35,19:11,03:51,15.63,435,00:58:08,19:32,03:55,15.35,401,01:18:18,20:10,04:03,14.87,392,4955,01:22:35,04:17,03:55,15.35
SWE,D40,5940,01:39:00,00:22:42,22:42,04:33,13.21,314,00:45:10,22:28,04:30,13.35,296,01:08:41,23:30,04:43,12.76,300,01:33:34,24:53,04:59,12.05,355,5940,01:39:00,05:26,04:58,12.11
SWE,D17,5941,01:39:01,00:23:56,23:56,04:48,12.53,778,00:47:01,23:04,04:37,13.00,591,01:10:39,23:38,04:44,12.69,491,01:34:15,23:35,04:44,12.72,408,5941,01:39:01,04:46,04:22,13.79
