nationality,class,time_s,time,5ktime,5kdiff,5kminperk,5kkmh,5kplace,10ktime,10kdiff,10kminperk,10kkmh,10kplace,15ktime,15kdiff,15kminperk,15kkmh,15kplace,20ktime,20kdiff,20kminperk,20kkmh,20kplace,finishtime_s,finishtime,finishdiff,finishminperk,finishkmh
SWE,D17,5854,01:37:34,00:22:56,22:56,04:36,13.08,384,00:45:06,22:09,04:26,13.54,289,01:08:32,23:25,04:42,12.80,291,01:32:31,23:58,04:48,12.51,291,5854,01:37:34,05:03,04:37,13.02
SWE,H17,4873,01:21:13,00:19:01,19:01,03:49,15.77,337,00:37:50,18:49,03:46,15.94,329,00:57:15,19:24,03:53,15.45,317,01:17:03,19:48,03:58,15.15,292,4873,01:21:13,04:10,03:48,15.80
SWE,H17,4878,01:21:18,00:19:18,19:18,03:52,15.54,415,00:38:09,18:51,03:47,15.91,366,00:57:40,19:30,03:55,15.38,353,01:17:16,19:35,03:56,15.31,311,4878,01:21:18,04:02,03:41,16.29
SWE,D17,5855,01:37:35,00:22:38,22:38,04:32,13.25,301,00:45:26,22:47,04:34,13.16,336,01:08:39,23:13,04:39,12.92,297,01:32:33,23:54,04:47,12.55,295,5855,01:37:35,05:01,04:35,13.11
SWE,D17,5856,01:37:36,00:22:19,22:19,04:28,13.44,235,00:44:46,22:27,04:30,13.36,252,01:08:14,23:27,04:42,12.79,270,01:32:22,24:08,04:50,12.43,283,5856,01:37:36,05:14,04:47,12.57
SWE,H17,4879,01:21:19,00:19:23,19:23,03:53,15.47,454,00:38:15,18:51,03:47,15.91,385,00:57:24,19:09,03:50,15.66,337,01:17:12,19:47,03:58,15.16,308,4879,01:21:19,04:07,03:46,15.98
SWE,D17,5858,01:37:38,00:22:36,22:36,04:32,13.27,288,00:45:05,22:28,04:30,13.35,287,01:08:36,23:31,04:43,12.75,294,01:32:31,23:55,04:48,12.54,292,5858,01:37:38,05:06,04:40,12.88
SWE,H17,4880,01:21:20,00:19:08,19:08,03:50,15.68,371,00:38:10,19:02,03:49,15.76,369,00:57:22,19:11,03:51,15.63,328,01:17:10,19:48,03:58,15.15,305,4880,01:21:20,04:10,03:49,15.78
SWE,H35,4880,01:21:20,00:18:08,18:08,03:38,16.53,154,00:36:42,18:33,03:43,16.16,190,00:56:29,19:47,03:58,15.16,250,01:17:11,20:41,04:09,14.50,306,4880,01:21:20,04:09,03:48,15.83
SWE,D17,5859,01:37:39,00:23:39,23:39,04:44,12.68,640,00:46:21,22:42,04:33,13.21,459,01:09:44,23:23,04:41,12.83,391,01:32:47,23:02,04:37,13.02,308,5859,01:37:39,04:51,04:26,13.54
SWE,H40,4881,01:21:21,00:19:25,19:25,03:54,15.44,467,00:38:11,18:45,03:46,16.00,371,00:57:24,19:13,03:51,15.61,336,01:17:13,19:48,03:58,15.14,309,4881,01:21:21,04:08,03:47,15.90
SWE,D17,5859,01:37:39,00:22:11,22:11,04:27,13.52,218,00:44:52,22:40,04:33,13.23,261,01:07:50,22:58,04:36,13.06,248,01:32:28,24:38,04:56,12.18,289,5859,01:37:39,05:10,04:44,12.70
SWE,D35,5859,01:37:39,00:22:51,22:51,04:35,13.12,360,00:45:15,22:24,04:29,13.39,302,01:08:28,23:12,04:39,12.93,288,01:32:25,23:57,04:48,12.52,284,5859,01:37:39,05:13,04:46,12.59
SWE,D45,5859,01:37:39,00:22:43,22:43,04:33,13.20,318,00:45:16,22:32,04:31,13.30,304,01:08:42,23:26,04:42,12.80,302,01:32:44,24:01,04:49,12.48,303,5859,01:37:39,04:55,04:29,13.38
SWE,H17,4882,01:21:22,00:18:54,18:54,03:47,15.87,303,00:37:28,18:33,03:43,16.16,280,00:56:26,18:58,03:48,15.81,248,01:16:47,20:20,04:05,14.75,275,4882,01:21:22,04:35,04:11,14.36
SWE,H17,4882,01:21:22,00:18:59,18:59,03:48,15.80,320,00:37:16,18:17,03:40,16.40,252,00:57:04,19:47,03:58,15.16,297,01:17:07,20:03,04:01,14.96,301,4882,01:21:22,04:15,03:53,15.49
SWE,H17,4882,01:21:22,00:18:59,18:59,03:48,15.79,322,00:37:33,18:33,03:43,16.17,293,00:56:50,19:16,03:52,15.56,276,01:16:54,20:04,04:01,14.95,280,4882,01:21:22,04:27,04:05,14.74
SWE,D55,5860,01:37:40,00:22:37,22:37,04:32,13.26,292,00:45:22,22:44,04:33,13.19,324,01:08:55,23:33,04:43,12.74,322,01:32:45,23:49,04:46,12.59,304,5860,01:37:40,04:55,04:30,13.38
SWE,D17,5861,01:37:41,00:22:03,22:03,04:25,13.60,195,00:44:43,22:39,04:32,13.24,249,01:08:24,23:41,04:45,12.67,280,01:32:53,24:29,04:54,12.25,315,5861,01:37:41,04:48,04:23,13.70
SWE,H17,4882,01:21:22,00:19:01,19:01,03:49,15.76,340,00:37:51,18:49,03:46,15.94,330,00:57:18,19:27,03:54,15.41,322,01:17:19,20:00,04:01,14.99,312,4882,01:21:22,04:03,03:42,16.22
JPN,H45,4882,01:21:22,00:19:27,19:27,03:54,15.42,479,00:38:12,18:44,03:45,16.00,376,00:57:28,19:15,03:52,15.57,340,01:17:13,19:45,03:58,15.18,310,4882,01:21:22,04:09,03:47,15.86
SWE,D35,5863,01:37:43,00:22:38,22:38,04:32,13.25,298,00:45:08,22:30,04:31,13.33,292,01:08:45,23:37,04:44,12.70,310,01:32:38,23:52,04:47,12.57,299,5863,01:37:43,05:05,04:39,12.94
SWE,H35,4882,01:21:22,00:18:54,18:54,03:47,15.87,298,00:37:38,18:44,03:45,16.01,308,00:57:02,19:24,03:53,15.46,296,01:17:04,20:01,04:01,14.98,295,4882,01:21:22,04:18,03:56,15.27
SWE,D45,5863,01:37:43,00:22:55,22:55,04:36,13.09,377,00:45:20,22:25,04:30,13.38,316,01:08:45,23:25,04:42,12.81,309,01:32:43,23:57,04:48,12.52,302,5863,01:37:43,05:00,04:35,13.14
SWE,H50,4882,01:21:22,00:18:48,18:48,03:46,15.95,278,00:37:20,18:31,03:43,16.20,261,00:56:46,19:26,03:54,15.43,274,01:16:59,20:13,04:03,14.84,288,4882,01:21:22,04:23,04:00,15.00
SWE,D17,5865,01:37:45,00:23:06,23:06,04:38,12.98,419,00:45:56,22:50,04:35,13.13,402,01:09:12,23:15,04:40,12.90,342,01:32:45,23:33,04:43,12.73,305,5865,01:37:45,04:59,04:33,13.19
SWE,H17,4884,01:21:24,00:19:05,19:05,03:50,15.71,357,00:37:51,18:46,03:46,15.99,332,00:57:15,19:23,03:53,15.47,313,01:17:09,19:53,03:59,15.08,303,4884,01:21:24,04:15,03:53,15.49
SWE,D17,5865,01:37:45,00:23:41,23:41,04:45,12.66,666,00:46:52,23:10,04:39,12.95,565,01:10:09,23:17,04:40,12.88,434,01:32:48,22:38,04:32,13.25,309,5865,01:37:45,04:57,04:32,13.27
